iter	Accuracy	Logloss
0	0.8816234498	0.6529827017
1	0.8793686584	0.6200430031
2	0.8895152198	0.5902477971
3	0.8906426156	0.5656634664
4	0.8804960541	0.5372233866
5	0.8748590755	0.5117958875
6	0.8782412627	0.4905979881
7	0.8883878241	0.4751865253
8	0.8861330327	0.4579429313
9	0.8861330327	0.4455496954
10	0.8861330327	0.4311064823
11	0.8838782413	0.4191119282
12	0.8906426156	0.4095959159
13	0.8906426156	0.3991921151
14	0.8883878241	0.3902029425
15	0.892897407	0.3809966424
16	0.8906426156	0.3738169557
17	0.8895152198	0.3700017808
18	0.892897407	0.3638552882
19	0.8917700113	0.3573655725
20	0.8917700113	0.3511257819
21	0.892897407	0.3456522337
22	0.8940248027	0.3400022238
23	0.8951521984	0.3354571
24	0.8962795941	0.3312987876
25	0.8996617813	0.3277974173
26	0.8985343856	0.3231896555
27	0.900789177	0.3181946599
28	0.9064261556	0.3145900254
29	0.9075535513	0.3110238039
30	0.9098083427	0.3071915635
31	0.9109357384	0.3031623262
32	0.9143179256	0.2999504265
33	0.9143179256	0.2965034841
34	0.916572717	0.2934593939
35	0.9177001127	0.2905656527
36	0.9177001127	0.2875574828
37	0.9188275085	0.284892882
38	0.9188275085	0.2820339329
39	0.9199549042	0.2797265002
40	0.9177001127	0.2771890194
41	0.9199549042	0.2739940582
42	0.9199549042	0.2717425279
43	0.9199549042	0.2692739955
44	0.9199549042	0.2670409321
45	0.9210822999	0.2648172286
46	0.9188275085	0.2630202537
47	0.9199549042	0.2604462005
48	0.9233370913	0.2581922183
49	0.924464487	0.2558186322
50	0.924464487	0.2535401561
51	0.9255918828	0.2511826353
52	0.9255918828	0.2495577945
53	0.9255918828	0.2474988572
54	0.9267192785	0.2456091077
55	0.9267192785	0.243937523
56	0.9267192785	0.2427037431
57	0.9267192785	0.2410479936
58	0.9267192785	0.2394167853
59	0.9278466742	0.2376674472
60	0.9289740699	0.2367999472
61	0.9301014656	0.2349417488
62	0.9289740699	0.2328951059
63	0.9289740699	0.2313793363
64	0.9301014656	0.2299395317
65	0.932356257	0.2283378656
66	0.9334836528	0.2261549407
67	0.9334836528	0.2247490391
68	0.9334836528	0.2230198666
69	0.9334836528	0.2215515445
70	0.9334836528	0.2201536944
71	0.9334836528	0.2186625001
72	0.9334836528	0.2171799905
73	0.9334836528	0.2159240648
74	0.9334836528	0.2143266204
75	0.9334836528	0.2124665316
76	0.9334836528	0.2111043843
77	0.9346110485	0.2095297333
78	0.9357384442	0.2085151743
79	0.9368658399	0.2073272102
