iter	Passed	Remaining
0	5	473
1	9	354
2	12	314
3	16	315
4	18	270
5	20	247
6	21	224
7	26	242
8	29	234
9	33	235
10	36	231
11	41	233
12	44	228
13	47	224
14	51	223
15	56	227
16	57	214
17	58	201
18	61	198
19	64	194
20	69	194
21	72	190
22	75	186
23	77	181
24	80	177
25	83	173
26	86	169
27	88	165
28	92	162
29	95	159
30	98	155
31	101	151
32	105	149
33	109	147
34	112	144
35	115	140
36	117	137
37	120	133
38	123	129
39	127	127
40	131	124
41	135	122
42	140	120
43	143	117
44	146	114
45	150	110
46	153	107
47	156	104
48	160	101
49	163	98
50	166	94
51	168	90
52	173	88
53	176	84
54	179	81
55	182	78
56	184	74
57	189	71
58	192	68
59	195	65
60	198	61
61	201	58
62	204	55
63	207	51
64	210	48
65	214	45
66	217	42
67	220	38
68	223	35
69	226	32
70	229	29
71	232	25
72	234	22
73	237	19
74	240	16
75	242	12
76	245	9
77	248	6
78	251	3
79	253	0
